temperature,humidity,wind_speed,et_15min,rain_mm,rain_intensity,soil_moisture_before,irrigation_seconds,soil_moisture_after,soil_type_factor,slope_factor,growth_stage_factor
18.52088217802045,33.24638417897985,4.598318083740741,0.105,3.566665378598236,2,59.151491711898466,15,69.12908813938823,1.0,1.0,1.0
28.736941049736323,36.53372924483007,4.968100180433192,0.1325,1.747739163686199,1,35.61922276030516,10,43.19690986193656,1.2,0.8,1.2
22.760935523021523,31.52523577256175,2.9452640187456485,0.09958333333333334,2.430921700928937,0,42.99646068254902,20,49.347515556896816,1.0,1.0,0.7
37.88432350683452,37.428388371292826,1.6255870803215346,0.085,7.765595566124779,2,57.769854076336145,5,66.24858192466912,1.2,0.9,0.7
19.803057459740554,64.52530869444186,4.371520790770321,0.078125,4.053389862337473,1,59.32696439240264,10,65.42954670538718,1.0,1.0,0.7
35.61342202014343,78.12734118267014,0.585071813371905,0.08760416666666666,5.66885463558689,1,44.53050567915436,10,51.07528300794131,0.8,0.8,1.0
31.988888697719453,43.3857491952363,5.676115059707796,0.14666666666666667,6.827288560881026,1,46.168871503937325,15,54.41375456617078,1.2,0.8,0.7
26.366430945233667,74.68649987176062,0.989034187789614,0.06364583333333333,6.160573605942625,0,53.674220558492806,5,57.75979543496836,0.8,0.9,1.0
34.08073873305114,59.77993421239205,5.41694118872456,0.13614583333333333,4.752961565050354,0,24.788224687955594,30,39.27255986243245,1.2,1.0,1.2
35.482213570882124,35.52099983092493,4.679664853394078,0.14708333333333332,6.911389785297927,1,21.596910305667674,5,27.645053038722697,1.2,0.9,0.7
23.337382089478407,81.76508784184787,1.4489655923172293,0.08385416666666667,0.42003842547151393,0,26.68648712334269,30,32.976021517432784,1.2,0.8,0.7
36.594953624936295,67.98109214509645,0.6516517327604312,0.07364583333333334,7.72584466486468,1,47.538127752032715,20,61.34381759247268,1.0,1.0,1.2
20.531270809084404,35.48277329426941,4.48067819386327,0.10458333333333332,2.7524498570651197,1,50.83433369087794,5,55.584745030508145,0.8,1.0,1.2
21.963005254755842,59.30913936953036,2.3827718876574977,0.09354166666666668,3.608480100928656,1,30.242357096826385,0,31.953055480624045,0.8,1.0,1.0
37.5158154758558,51.068595348580814,2.942933270387546,0.13958333333333334,1.752053376863719,0,36.65123545871998,5,41.298127650141296,1.2,1.0,1.0
31.823807689016224,41.55634965692946,5.379900759318945,0.12197916666666668,1.6126112295428259,2,45.727602020774995,0,46.815081276265445,1.0,0.9,1.2
19.521276724369113,73.01477735623232,4.813217534386444,0.06260416666666667,6.222992581443481,0,54.71609928929683,30,63.67159916607304,1.0,0.8,1.0
32.07143566245635,65.68924205479038,4.283904841807402,0.09010416666666667,7.435260801384241,2,47.15918880204024,0,52.64553023641175,0.8,0.9,0.7
25.48861010245873,48.20627024189163,5.743200696102676,0.09479166666666666,6.510715061202124,0,57.591481412254105,20,69.14078185222893,1.0,1.0,1.2
18.968300925349237,43.07376548843427,3.643088554518561,0.07083333333333333,0.4983808607291538,1,37.55829229800553,0,37.73664939503678,1.2,1.0,1.0
22.662282440324006,69.55699134098622,1.5495938117187895,0.08427083333333334,6.301454312210594,1,38.822554375364135,5,43.71536481396236,0.8,0.9,0.7
22.428066296357592,50.857557765939106,5.440163268384386,0.09666666666666666,6.7895224852818385,2,25.273388251720732,5,32.70400227011713,1.2,0.8,0.7
21.927724630923514,81.72519359806078,4.949010458538061,0.04791666666666666,3.954886941962134,0,21.078651258680658,30,32.09363678991523,1.0,0.9,1.2
33.49756569520291,70.28182345021719,5.947880794865414,0.08854166666666667,2.55290100047562,0,51.5192976752453,30,60.1283256286261,0.8,0.9,1.2
22.978809477496533,32.52886255074205,2.9947561153438484,0.11697916666666668,0.24801733690418626,1,45.06157241544048,30,51.598163328047654,1.0,1.0,0.7
27.552000345494342,73.52194647073179,4.29126174660532,0.09479166666666666,0.8943678149307548,1,31.102465337288816,0,31.454857578087527,0.8,0.9,0.7
36.31210230947635,78.16510590747865,3.5675528054993486,0.12239583333333333,0.5629746250140499,1,29.127480197970222,30,41.37558823203676,1.2,0.9,1.2
18.637428804736306,73.59678997266622,4.5586930448013545,0.06197916666666667,1.9326957719663405,1,36.587840724973375,30,44.20832975256368,0.8,0.9,1.0
27.01311776368102,53.0497897067671,5.591911447221575,0.12083333333333333,5.388878409548874,2,45.193600021652884,10,52.43763540093385,0.8,1.0,0.7
22.096693012960877,76.64986621098399,2.8592706931335625,0.06635416666666667,7.398419823766134,2,26.99132536937369,5,35.25680186607641,0.8,0.8,1.2
